CIRC;CANTON;BUREAU;INSCRITS;VOTANTS;%;NULS;%;EXPRIMES;%;ABSTENTIONS;%;Lutte Ouvrière;%;Toulouse Autrement;%;Toulouse Pour Tous, osons aller plus loin ensemble;%;Toulouse Rassemblée;%;Debout ! Ensemble, la gauche qui ne renonce pas;%;100% Pour Toulouse;%;L'autre Liste;%;Pour la renationalisation d'Airbus, pour la laïcité, contre les directives de l'union européenne;%
1;1;1;1047;537;98.51;8;98.51;529;98.51;510;98.51;6;98.51;42;98.51;242;98.51;180;98.51;25;98.51;4;98.51;30;98.51;0;98.51
1;7;101;1121;649;98.0;13;98.0;636;98.0;472;98.0;4;98.0;40;98.0;235;98.0;243;98.0;62;98.0;5;98.0;46;98.0;1;98.0
3;9;138A;962;642;98.44;10;98.44;632;98.44;320;98.44;3;98.44;29;98.44;315;98.44;235;98.44;21;98.44;0;98.44;28;98.44;1;98.44
1;4;56;1014;577;97.57;14;97.57;563;97.57;437;97.57;3;97.57;44;97.57;227;97.57;201;97.57;46;97.57;4;97.57;36;97.57;2;97.57
3;10;153;804;273;95.97;11;95.97;262;95.97;531;95.97;5;95.97;6;95.97;64;95.97;154;95.97;16;95.97;5;95.97;8;95.97;4;95.97
3;10;158;1132;651;98.31;11;98.31;640;98.31;481;98.31;4;98.31;17;98.31;233;98.31;300;98.31;44;98.31;3;98.31;37;98.31;2;98.31
3;10;161;1008;635;97.95;13;97.95;622;97.95;373;97.95;6;97.95;35;97.95;251;97.95;272;97.95;24;97.95;11;97.95;20;97.95;3;97.95
4;2;025A;1001;575;97.57;14;97.57;561;97.57;426;97.57;6;97.57;36;97.57;196;97.57;254;97.57;29;97.57;10;97.57;29;97.57;1;97.57
4;3;50;997;624;97.44;16;97.44;608;97.44;373;97.44;4;97.44;31;97.44;208;97.44;286;97.44;27;97.44;6;97.44;44;97.44;2;97.44
4;11;178;659;330;96.67;11;96.67;319;96.67;329;96.67;1;96.67;13;96.67;114;96.67;145;96.67;15;96.67;8;96.67;22;96.67;1;96.67
6;12;186;1046;372;98.12;7;98.12;365;98.12;674;98.12;9;98.12;18;98.12;76;98.12;212;98.12;24;98.12;9;98.12;16;98.12;1;98.12
6;12;195B;994;663;99.25;5;99.25;658;99.25;331;99.25;4;99.25;28;99.25;271;99.25;276;99.25;39;99.25;4;99.25;35;99.25;1;99.25
1;1;3;831;458;98.47;7;98.47;451;98.47;373;98.47;1;98.47;35;98.47;271;98.47;117;98.47;11;98.47;1;98.47;15;98.47;0;98.47
1;1;16;901;555;99.1;5;99.1;550;99.1;346;99.1;4;99.1;27;99.1;267;99.1;163;99.1;40;99.1;1;99.1;46;99.1;2;99.1
1;4;69;1002;585;98.12;11;98.12;574;98.12;417;98.12;5;98.12;34;98.12;273;98.12;199;98.12;27;98.12;5;98.12;30;98.12;1;98.12
2;15;220;1062;602;95.51;27;95.51;575;95.51;460;95.51;5;95.51;38;95.51;258;95.51;211;95.51;21;95.51;7;95.51;30;95.51;5;95.51
2;15;222;1107;621;96.62;21;96.62;600;96.62;486;96.62;9;96.62;24;96.62;248;96.62;255;96.62;30;96.62;13;96.62;20;96.62;1;96.62
3;9;138;898;611;98.53;9;98.53;602;98.53;287;98.53;1;98.53;36;98.53;310;98.53;210;98.53;20;98.53;1;98.53;24;98.53;0;98.53
3;10;149;986;559;98.21;10;98.21;549;98.21;427;98.21;3;98.21;25;98.21;220;98.21;222;98.21;35;98.21;6;98.21;35;98.21;3;98.21
3;10;165A;898;633;98.26;11;98.26;622;98.26;265;98.26;4;98.26;40;98.26;296;98.26;239;98.26;24;98.26;2;98.26;17;98.26;0;98.26
4;3;33;985;617;98.87;7;98.87;610;98.87;368;98.87;7;98.87;37;98.87;216;98.87;263;98.87;27;98.87;4;98.87;51;98.87;5;98.87
4;3;36;838;481;98.34;8;98.34;473;98.34;357;98.34;8;98.34;26;98.34;223;98.34;157;98.34;24;98.34;1;98.34;32;98.34;2;98.34
4;3;41;1085;663;98.19;12;98.19;651;98.19;422;98.19;8;98.19;48;98.19;234;98.19;273;98.19;28;98.19;3;98.19;56;98.19;1;98.19
4;3;48;988;556;98.38;9;98.38;547;98.38;432;98.38;5;98.38;19;98.38;211;98.38;229;98.38;39;98.38;5;98.38;38;98.38;1;98.38
4;3;49;568;344;96.51;12;96.51;332;96.51;224;96.51;6;96.51;14;96.51;116;96.51;161;96.51;14;96.51;1;96.51;18;96.51;2;96.51
6;12;198;1171;691;98.41;11;98.41;680;98.41;480;98.41;8;98.41;46;98.41;299;98.41;244;98.41;36;98.41;10;98.41;32;98.41;5;98.41
6;12;201A;885;554;98.56;8;98.56;546;98.56;331;98.56;2;98.56;45;98.56;279;98.56;177;98.56;16;98.56;3;98.56;24;98.56;0;98.56
1;1;010A;975;541;97.6;13;97.6;528;97.6;434;97.6;3;97.6;38;97.6;209;97.6;193;97.6;34;97.6;6;97.6;45;97.6;0;97.6
1;5;78;931;589;98.13;11;98.13;578;98.13;342;98.13;5;98.13;41;98.13;266;98.13;191;98.13;34;98.13;1;98.13;38;98.13;2;98.13
1;7;114;926;417;98.32;7;98.32;410;98.32;509;98.32;3;98.32;18;98.32;163;98.32;186;98.32;18;98.32;6;98.32;15;98.32;1;98.32
2;6;99;926;504;98.02;10;98.02;494;98.02;422;98.02;4;98.02;24;98.02;174;98.02;233;98.02;23;98.02;7;98.02;27;98.02;2;98.02
2;8;124A;918;572;98.6;8;98.6;564;98.6;346;98.6;2;98.6;36;98.6;291;98.6;191;98.6;13;98.6;9;98.6;22;98.6;0;98.6
2;15;216;1310;639;97.03;19;97.03;620;97.03;671;97.03;10;97.03;36;97.03;220;97.03;280;97.03;35;97.03;6;97.03;32;97.03;1;97.03
2;15;223;1182;663;97.89;14;97.89;649;97.89;519;97.89;5;97.89;28;97.89;292;97.89;260;97.89;29;97.89;4;97.89;30;97.89;1;97.89
3;10;152;1008;438;98.17;8;98.17;430;98.17;570;98.17;8;98.17;24;98.17;146;98.17;186;98.17;27;98.17;6;98.17;31;98.17;2;98.17
4;2;18;1170;662;98.49;10;98.49;652;98.49;508;98.49;5;98.49;36;98.49;300;98.49;237;98.49;27;98.49;8;98.49;37;98.49;2;98.49
4;3;47;997;641;98.91;7;98.91;634;98.91;356;98.91;3;98.91;34;98.91;234;98.91;283;98.91;36;98.91;3;98.91;41;98.91;0;98.91
5;14;211A;1171;620;97.26;17;97.26;603;97.26;551;97.26;8;97.26;31;97.26;255;97.26;245;97.26;23;97.26;8;97.26;33;97.26;0;97.26
6;12;193;683;315;97.78;7;97.78;308;97.78;368;97.78;7;97.78;13;97.78;120;97.78;129;97.78;19;97.78;4;97.78;16;97.78;0;97.78
6;12;193A;840;419;97.85;9;97.85;410;97.85;421;97.85;6;97.85;18;97.85;149;97.85;168;97.85;28;97.85;11;97.85;29;97.85;1;97.85
1;1;6;995;542;99.45;3;99.45;539;99.45;453;99.45;3;99.45;48;99.45;185;99.45;217;99.45;32;99.45;3;99.45;51;99.45;0;99.45
1;1;7;959;530;99.25;4;99.25;526;99.25;429;99.25;2;99.25;43;99.25;181;99.25;209;99.25;40;99.25;2;99.25;49;99.25;0;99.25
1;4;60;1042;631;98.1;12;98.1;619;98.1;411;98.1;11;98.1;38;98.1;247;98.1;248;98.1;40;98.1;4;98.1;28;98.1;3;98.1
1;7;100;1038;549;99.64;2;99.64;547;99.64;489;99.64;7;99.64;33;99.64;136;99.64;271;99.64;53;99.64;2;99.64;42;99.64;3;99.64
1;7;113A;981;578;97.92;12;97.92;566;97.92;403;97.92;3;97.92;21;97.92;269;97.92;227;97.92;17;97.92;2;97.92;25;97.92;2;97.92
1;7;117;901;524;97.33;14;97.33;510;97.33;377;97.33;6;97.33;21;97.33;227;97.33;197;97.33;28;97.33;2;97.33;29;97.33;0;97.33
3;9;139;969;556;96.76;18;96.76;538;96.76;413;96.76;3;96.76;29;96.76;240;96.76;218;96.76;22;96.76;3;96.76;19;96.76;4;96.76
3;10;156;872;448;95.76;19;95.76;429;95.76;424;95.76;3;95.76;17;95.76;175;95.76;192;95.76;16;95.76;5;95.76;19;95.76;2;95.76
3;10;162;1037;592;97.3;16;97.3;576;97.3;445;97.3;2;97.3;27;97.3;220;97.3;260;97.3;40;97.3;1;97.3;26;97.3;0;97.3
3;10;163;1059;586;97.95;12;97.95;574;97.95;473;97.95;4;97.95;29;97.95;209;97.95;292;97.95;20;97.95;3;97.95;17;97.95;0;97.95
4;3;51;1057;628;98.09;12;98.09;616;98.09;429;98.09;6;98.09;40;98.09;242;98.09;261;98.09;25;98.09;6;98.09;35;98.09;1;98.09
4;11;177;785;406;94.33;23;94.33;383;94.33;379;94.33;6;94.33;18;94.33;160;94.33;147;94.33;20;94.33;8;94.33;23;94.33;1;94.33
1;1;2;819;466;99.14;4;99.14;462;99.14;353;99.14;2;99.14;37;99.14;203;99.14;147;99.14;33;99.14;1;99.14;39;99.14;0;99.14
1;1;10;977;521;99.23;4;99.23;517;99.23;456;99.23;0;99.23;33;99.23;247;99.23;185;99.23;18;99.23;8;99.23;26;99.23;0;99.23
1;4;64;1011;624;98.08;12;98.08;612;98.08;387;98.08;6;98.08;37;98.08;235;98.08;240;98.08;38;98.08;7;98.08;48;98.08;1;98.08
1;4;67;907;503;99.01;5;99.01;498;99.01;404;99.01;2;99.01;39;99.01;188;99.01;192;99.01;41;99.01;0;99.01;34;99.01;2;99.01
4;3;39;1084;619;98.22;11;98.22;608;98.22;465;98.22;6;98.22;37;98.22;221;98.22;264;98.22;35;98.22;4;98.22;41;98.22;0;98.22
4;3;43;1006;640;98.75;8;98.75;632;98.75;366;98.75;2;98.75;25;98.75;244;98.75;264;98.75;34;98.75;6;98.75;54;98.75;3;98.75
4;3;46;997;607;97.69;14;97.69;593;97.69;390;97.69;3;97.69;41;97.69;258;97.69;221;97.69;36;97.69;2;97.69;31;97.69;1;97.69
4;11;168;998;608;94.57;33;94.57;575;94.57;390;94.57;12;94.57;17;94.57;205;94.57;288;94.57;26;94.57;8;94.57;19;94.57;0;94.57
6;12;195;805;443;98.42;7;98.42;436;98.42;362;98.42;1;98.42;24;98.42;208;98.42;170;98.42;13;98.42;3;98.42;17;98.42;0;98.42
1;1;9;967;566;98.59;8;98.59;558;98.59;401;98.59;2;98.59;48;98.59;253;98.59;177;98.59;30;98.59;1;98.59;41;98.59;6;98.59
1;4;65;870;505;98.02;10;98.02;495;98.02;365;98.02;7;98.02;31;98.02;219;98.02;186;98.02;24;98.02;3;98.02;22;98.02;3;98.02
1;4;067A;901;561;98.22;10;98.22;551;98.22;340;98.22;2;98.22;36;98.22;222;98.22;226;98.22;28;98.22;1;98.22;35;98.22;1;98.22
1;5;80;1057;521;97.7;12;97.7;509;97.7;536;97.7;0;97.7;28;97.7;230;97.7;181;97.7;36;97.7;4;97.7;29;97.7;1;97.7
2;8;119;930;582;97.77;13;97.77;569;97.77;348;97.77;2;97.77;34;97.77;338;97.77;157;97.77;16;97.77;0;97.77;20;97.77;2;97.77
2;8;120;959;559;97.67;13;97.67;546;97.67;400;97.67;3;97.67;31;97.67;298;97.67;152;97.67;21;97.67;4;97.67;32;97.67;5;97.67
2;15;225;1087;622;97.43;16;97.43;606;97.43;465;97.43;8;97.43;29;97.43;232;97.43;272;97.43;33;97.43;3;97.43;26;97.43;3;97.43
3;9;132;985;542;97.23;15;97.23;527;97.23;443;97.23;5;97.23;34;97.23;259;97.23;185;97.23;14;97.23;5;97.23;21;97.23;4;97.23
3;9;140;939;541;97.41;14;97.41;527;97.41;398;97.41;3;97.41;33;97.41;284;97.41;169;97.41;16;97.41;3;97.41;18;97.41;1;97.41
3;9;144A;989;594;97.31;16;97.31;578;97.31;395;97.31;6;97.31;37;97.31;271;97.31;203;97.31;27;97.31;2;97.31;28;97.31;4;97.31
3;10;150;1115;670;98.21;12;98.21;658;98.21;445;98.21;6;98.21;44;98.21;223;98.21;292;98.21;44;98.21;4;98.21;42;98.21;3;98.21
3;10;155;795;349;97.13;10;97.13;339;97.13;446;97.13;4;97.13;24;97.13;120;97.13;143;97.13;24;97.13;5;97.13;19;97.13;0;97.13
4;2;21;914;548;97.81;12;97.81;536;97.81;366;97.81;0;97.81;46;97.81;339;97.81;103;97.81;13;97.81;7;97.81;24;97.81;4;97.81
5;13;202;1288;615;97.72;14;97.72;601;97.72;673;97.72;5;97.72;38;97.72;255;97.72;244;97.72;25;97.72;6;97.72;27;97.72;1;97.72
5;14;207;963;591;98.31;10;98.31;581;98.31;372;98.31;5;98.31;36;98.31;239;98.31;243;98.31;33;98.31;3;98.31;21;98.31;1;98.31
6;12;194;832;455;96.7;15;96.7;440;96.7;377;96.7;6;96.7;21;96.7;150;96.7;200;96.7;21;96.7;4;96.7;38;96.7;0;96.7
1;5;83;1003;620;97.42;16;97.42;604;97.42;383;97.42;0;97.42;44;97.42;309;97.42;183;97.42;24;97.42;3;97.42;39;97.42;2;97.42
1;5;84;1145;694;98.13;13;98.13;681;98.13;451;98.13;4;98.13;36;98.13;297;98.13;251;98.13;28;98.13;3;98.13;58;98.13;4;98.13
2;8;118;1071;645;98.6;9;98.6;636;98.6;426;98.6;0;98.6;43;98.6;326;98.6;209;98.6;29;98.6;4;98.6;23;98.6;2;98.6
3;10;157;1183;680;96.62;23;96.62;657;96.62;503;96.62;2;96.62;32;96.62;259;96.62;288;96.62;36;96.62;3;96.62;34;96.62;3;96.62
4;2;19;1049;634;99.05;6;99.05;628;99.05;415;99.05;0;99.05;43;99.05;323;99.05;211;99.05;22;99.05;0;99.05;29;99.05;0;99.05
4;2;27;1003;615;97.4;16;97.4;599;97.4;388;97.4;7;97.4;34;97.4;300;97.4;190;97.4;33;97.4;4;97.4;29;97.4;2;97.4
4;11;167;1030;573;98.08;11;98.08;562;98.08;457;98.08;9;98.08;29;98.08;223;98.08;218;98.08;33;98.08;8;98.08;37;98.08;5;98.08
5;14;209;1260;644;97.98;13;97.98;631;97.98;616;97.98;8;97.98;43;97.98;229;97.98;265;97.98;46;97.98;8;97.98;32;97.98;0;97.98
1;1;11;1101;665;99.1;6;99.1;659;99.1;436;99.1;2;99.1;53;99.1;334;99.1;188;99.1;36;99.1;8;99.1;37;99.1;1;99.1
1;4;55;990;588;98.64;8;98.64;580;98.64;402;98.64;3;98.64;50;98.64;233;98.64;223;98.64;28;98.64;1;98.64;42;98.64;0;98.64
1;4;66;817;487;98.97;5;98.97;482;98.97;330;98.97;1;98.97;39;98.97;210;98.97;175;98.97;24;98.97;5;98.97;27;98.97;1;98.97
1;5;86;1174;648;97.99;13;97.99;635;97.99;526;97.99;3;97.99;47;97.99;223;97.99;259;97.99;45;97.99;3;97.99;55;97.99;0;97.99
1;7;105;904;500;97.6;12;97.6;488;97.6;404;97.6;5;97.6;24;97.6;206;97.6;198;97.6;24;97.6;10;97.6;19;97.6;2;97.6
1;7;106;971;473;96.41;17;96.41;456;96.41;498;96.41;9;96.41;18;96.41;183;96.41;204;96.41;23;96.41;2;96.41;15;96.41;2;96.41
1;7;115;721;407;99.02;4;99.02;403;99.02;314;99.02;5;99.02;22;99.02;174;99.02;174;99.02;11;99.02;8;99.02;9;99.02;0;99.02
2;6;89;1033;555;95.5;25;95.5;530;95.5;478;95.5;0;95.5;26;95.5;254;95.5;196;95.5;25;95.5;5;95.5;22;95.5;2;95.5
3;9;147;976;614;98.37;10;98.37;604;98.37;362;98.37;0;98.37;33;98.37;254;98.37;253;98.37;25;98.37;3;98.37;35;98.37;1;98.37
4;11;173;931;459;96.51;16;96.51;443;96.51;472;96.51;13;96.51;18;96.51;179;96.51;175;96.51;16;96.51;7;96.51;27;96.51;8;96.51
6;12;185;825;337;99.41;2;99.41;335;99.41;488;99.41;8;99.41;21;99.41;109;99.41;152;99.41;21;99.41;12;99.41;12;99.41;0;99.41
6;12;189;848;389;99.49;2;99.49;387;99.49;459;99.49;5;99.49;26;99.49;127;99.49;179;99.49;22;99.49;6;99.49;21;99.49;1;99.49
6;12;191;880;306;99.67;1;99.67;305;99.67;574;99.67;3;99.67;8;99.67;47;99.67;199;99.67;25;99.67;9;99.67;11;99.67;3;99.67
1;1;13;994;592;98.82;7;98.82;585;98.82;402;98.82;3;98.82;32;98.82;223;98.82;228;98.82;42;98.82;2;98.82;51;98.82;4;98.82
1;4;54;967;520;98.27;9;98.27;511;98.27;447;98.27;7;98.27;34;98.27;189;98.27;203;98.27;33;98.27;2;98.27;41;98.27;2;98.27
1;5;73;1170;672;99.26;5;99.26;667;99.26;498;99.26;7;99.26;41;99.26;276;99.26;246;99.26;36;99.26;2;99.26;57;99.26;2;99.26
1;5;77;912;534;97.38;14;97.38;520;97.38;378;97.38;2;97.38;42;97.38;235;97.38;180;97.38;18;97.38;6;97.38;36;97.38;1;97.38
2;8;124;984;647;99.23;5;99.23;642;99.23;337;99.23;5;99.23;45;99.23;353;99.23;206;99.23;16;99.23;2;99.23;13;99.23;2;99.23
3;9;131;966;587;97.79;13;97.79;574;97.79;379;97.79;4;97.79;24;97.79;289;97.79;210;97.79;18;97.79;5;97.79;23;97.79;1;97.79
3;9;134;800;519;98.65;7;98.65;512;98.65;281;98.65;2;98.65;26;98.65;304;98.65;158;98.65;9;98.65;1;98.65;11;98.65;1;98.65
4;3;044A;1134;657;97.56;16;97.56;641;97.56;477;97.56;3;97.56;42;97.56;259;97.56;261;97.56;26;97.56;6;97.56;41;97.56;3;97.56
4;3;049A;822;515;97.67;12;97.67;503;97.67;307;97.67;4;97.67;37;97.67;236;97.67;175;97.67;15;97.67;6;97.67;27;97.67;3;97.67
5;14;208;949;591;97.97;12;97.97;579;97.97;358;97.97;14;97.97;38;97.97;248;97.97;213;97.97;23;97.97;5;97.97;36;97.97;2;97.97
1;4;53;1030;584;98.12;11;98.12;573;98.12;446;98.12;4;98.12;27;98.12;249;98.12;232;98.12;29;98.12;2;98.12;29;98.12;1;98.12
1;4;71;955;580;95.34;27;95.34;553;95.34;375;95.34;11;95.34;25;95.34;210;95.34;239;95.34;29;95.34;2;95.34;34;95.34;3;95.34
1;7;116;877;492;98.37;8;98.37;484;98.37;385;98.37;10;98.37;17;98.37;190;98.37;225;98.37;21;98.37;1;98.37;17;98.37;3;98.37
2;6;96;973;575;96.35;21;96.35;554;96.35;398;96.35;6;96.35;30;96.35;202;96.35;222;96.35;44;96.35;5;96.35;42;96.35;3;96.35
2;6;97;1122;650;97.23;18;97.23;632;97.23;472;97.23;6;97.23;32;97.23;237;97.23;289;97.23;35;97.23;4;97.23;25;97.23;4;97.23
4;2;32;828;528;98.11;10;98.11;518;98.11;300;98.11;1;98.11;33;98.11;337;98.11;111;98.11;20;98.11;0;98.11;15;98.11;1;98.11
4;11;175;841;359;98.33;6;98.33;353;98.33;482;98.33;5;98.33;17;98.33;122;98.33;151;98.33;25;98.33;14;98.33;15;98.33;4;98.33
5;13;203A;1093;639;99.37;4;99.37;635;99.37;454;99.37;3;99.37;33;99.37;305;99.37;252;99.37;10;99.37;7;99.37;23;99.37;2;99.37
6;12;195A;1175;631;97.94;13;97.94;618;97.94;544;97.94;8;97.94;31;97.94;231;97.94;291;97.94;25;97.94;4;97.94;24;97.94;4;97.94
6;12;197;1046;689;98.84;8;98.84;681;98.84;357;98.84;10;98.84;54;98.84;303;98.84;236;98.84;37;98.84;1;98.84;35;98.84;5;98.84
1;4;62;983;547;99.45;3;99.45;544;99.45;436;99.45;5;99.45;29;99.45;235;99.45;209;99.45;25;99.45;7;99.45;34;99.45;0;99.45
2;6;90;1077;580;98.28;10;98.28;570;98.28;497;98.28;6;98.28;27;98.28;218;98.28;222;98.28;45;98.28;5;98.28;46;98.28;1;98.28
2;8;123;1110;594;98.15;11;98.15;583;98.15;516;98.15;6;98.15;37;98.15;261;98.15;210;98.15;29;98.15;4;98.15;35;98.15;1;98.15
2;8;127;886;539;98.14;10;98.14;529;98.14;347;98.14;1;98.14;31;98.14;272;98.14;189;98.14;8;98.14;3;98.14;22;98.14;3;98.14
