CIRC;CANTON;BUREAU;INSCRITS;VOTANTS;%;NULS;%;EXPRIMES;%;ABSTENTIONS;%;Toulouse Rassemblée;%;Toulouse Pour Tous, osons aller plus loin ensemble;%
1;5;77;912;592;64.91;23;64.91;569;64.91;320;64.91;269;64.91;300;64.91
1;5;84;1145;722;63.06;15;63.06;707;63.06;423;63.06;364;63.06;343;63.06
1;7;103;859;512;59.6;9;59.6;503;59.6;347;59.6;271;59.6;232;59.6
1;7;114;926;485;52.38;8;52.38;477;52.38;441;52.38;257;52.38;220;52.38
2;6;90;1077;638;59.24;22;59.24;616;59.24;439;59.24;344;59.24;272;59.24
2;6;94;1005;639;63.58;14;63.58;625;63.58;366;63.58;359;63.58;266;63.58
2;6;95;1030;602;58.45;20;58.45;582;58.45;428;58.45;318;58.45;264;58.45
2;15;217;1185;720;60.76;22;60.76;698;60.76;465;60.76;391;60.76;307;60.76
4;3;38;958;578;60.33;6;60.33;572;60.33;380;60.33;338;60.33;234;60.33
4;11;174A;1077;578;53.67;20;53.67;558;53.67;499;53.67;289;53.67;269;53.67
4;11;179;690;438;63.48;15;63.48;423;63.48;252;63.48;219;63.48;204;63.48
6;12;188;745;440;59.06;5;59.06;435;59.06;305;59.06;261;59.06;174;59.06
6;12;192;758;438;57.78;20;57.78;418;57.78;320;57.78;225;57.78;193;57.78
1;1;17;954;631;66.14;11;66.14;620;66.14;323;66.14;293;66.14;327;66.14
2;6;93;1179;695;58.95;17;58.95;678;58.95;484;58.95;371;58.95;307;58.95
2;8;122;1010;702;69.5;18;69.5;684;69.5;308;69.5;192;69.5;492;69.5
2;15;219;1091;677;62.05;17;62.05;660;62.05;414;62.05;327;62.05;333;62.05
3;9;139;969;599;61.82;11;61.82;588;61.82;370;61.82;295;61.82;293;61.82
4;3;33;985;646;65.58;11;65.58;635;65.58;339;65.58;361;65.58;274;65.58
4;3;41;1085;704;64.88;13;64.88;691;64.88;381;64.88;381;64.88;310;64.88
4;3;044A;1134;714;62.96;24;62.96;690;62.96;420;62.96;357;62.96;333;62.96
4;11;177;785;437;55.67;24;55.67;413;55.67;348;55.67;204;55.67;209;55.67
5;14;211;1107;650;58.72;11;58.72;639;58.72;457;58.72;325;58.72;314;58.72
1;4;58;1084;607;56.0;21;56.0;586;56.0;477;56.0;322;56.0;264;56.0
1;5;72;1210;674;55.7;19;55.7;655;55.7;536;55.7;371;55.7;284;55.7
2;6;96;973;625;64.23;27;64.23;598;64.23;348;64.23;343;64.23;255;64.23
2;15;216;1310;703;53.66;21;53.66;682;53.66;607;53.66;397;53.66;285;53.66
4;3;42;1070;657;61.4;12;61.4;645;61.4;413;61.4;335;61.4;310;61.4
4;11;166;1132;761;67.23;15;67.23;746;67.23;371;67.23;415;67.23;331;67.23
4;11;178;659;378;57.36;12;57.36;366;57.36;281;57.36;206;57.36;160;57.36
4;11;183;916;670;73.14;14;73.14;656;73.14;246;73.14;241;73.14;415;73.14
1;1;15;926;598;64.58;19;64.58;579;64.58;328;64.58;291;64.58;288;64.58
1;4;59;1054;705;66.89;20;66.89;685;66.89;349;66.89;374;66.89;311;66.89
1;7;110;890;596;66.97;19;66.97;577;66.97;294;66.97;282;66.97;295;66.97
2;15;223;1182;740;62.61;12;62.61;728;62.61;442;62.61;351;62.61;377;62.61
6;12;185;825;397;48.12;15;48.12;382;48.12;428;48.12;235;48.12;147;48.12
6;12;193A;840;460;54.76;16;54.76;444;54.76;380;54.76;254;54.76;190;54.76
6;12;199;532;321;60.34;10;60.34;311;60.34;211;60.34;142;60.34;169;60.34
1;1;3;831;518;62.33;11;62.33;507;62.33;313;62.33;172;62.33;335;62.33
1;1;010A;975;586;60.1;10;60.1;576;60.1;389;60.1;311;60.1;265;60.1
1;5;78;931;635;68.21;17;68.21;618;68.21;296;68.21;288;68.21;330;68.21
1;5;79;857;541;63.13;9;63.13;532;63.13;316;63.13;284;63.13;248;63.13
1;5;82;1022;601;58.81;22;58.81;579;58.81;421;58.81;289;58.81;290;58.81
1;7;109;1039;653;62.85;15;62.85;638;62.85;386;62.85;283;62.85;355;62.85
3;9;142;888;511;57.55;15;57.55;496;57.55;377;57.55;163;57.55;333;57.55
3;10;153;804;335;41.67;12;41.67;323;41.67;469;41.67;214;41.67;109;41.67
6;12;198;1171;788;67.29;21;67.29;767;67.29;383;67.29;371;67.29;396;67.29
1;5;83;1003;661;65.9;23;65.9;638;65.9;342;65.9;255;65.9;383;65.9
1;7;115;721;422;58.53;11;58.53;411;58.53;299;58.53;212;58.53;199;58.53
2;6;92;1122;652;58.11;13;58.11;639;58.11;470;58.11;307;58.11;332;58.11
2;15;213;1232;724;58.77;14;58.77;710;58.77;508;58.77;341;58.77;369;58.77
3;10;162;1037;658;63.45;26;63.45;632;63.45;379;63.45;354;63.45;278;63.45
3;10;165;949;590;62.17;15;62.17;575;62.17;359;62.17;314;62.17;261;62.17
4;2;22;1027;643;62.61;7;62.61;636;62.61;384;62.61;288;62.61;348;62.61
5;14;206;1120;657;58.66;13;58.66;644;58.66;463;58.66;322;58.66;322;58.66
6;12;200A;1141;693;60.74;18;60.74;675;60.74;448;60.74;276;60.74;399;60.74
1;4;64;1011;667;65.97;24;65.97;643;65.97;344;65.97;328;65.97;315;65.97
1;4;067A;901;589;65.37;16;65.37;573;65.37;312;65.37;305;65.37;268;65.37
2;6;97;1122;730;65.06;24;65.06;706;65.06;392;65.06;408;65.06;298;65.06
2;8;125;945;656;69.42;23;69.42;633;69.42;289;69.42;244;69.42;389;69.42
2;8;126;920;604;65.65;11;65.65;593;65.65;316;65.65;267;65.65;326;65.65
3;9;138A;962;684;71.1;15;71.1;669;71.1;278;71.1;297;71.1;372;71.1
3;9;143;997;654;65.6;18;65.6;636;65.6;343;65.6;251;65.6;385;65.6
3;10;158;1132;698;61.66;17;61.66;681;61.66;434;61.66;388;61.66;293;61.66
4;2;24;991;582;58.73;10;58.73;572;58.73;409;58.73;332;58.73;240;58.73
4;3;40;1161;638;54.95;13;54.95;625;54.95;523;54.95;336;54.95;289;54.95
4;11;174;1116;623;55.82;15;55.82;608;55.82;493;55.82;356;55.82;252;55.82
6;12;197;1046;742;70.94;30;70.94;712;70.94;304;70.94;338;70.94;374;70.94
1;1;5;757;503;66.45;14;66.45;489;66.45;254;66.45;169;66.45;320;66.45
1;1;13;994;649;65.29;9;65.29;640;65.29;345;65.29;353;65.29;287;65.29
1;1;14;1138;791;69.51;17;69.51;774;69.51;347;69.51;361;69.51;413;69.51
1;4;61;817;524;64.14;8;64.14;516;64.14;293;64.14;276;64.14;240;64.14
1;4;67;907;540;59.54;12;59.54;528;59.54;367;59.54;289;59.54;239;59.54
1;4;68;956;624;65.27;21;65.27;603;65.27;332;65.27;282;65.27;321;65.27
1;7;101;1121;686;61.2;15;61.2;671;61.2;435;61.2;373;61.2;298;61.2
3;9;147;976;673;68.95;14;68.95;659;68.95;303;68.95;345;68.95;314;68.95
3;10;154;828;401;48.43;10;48.43;391;48.43;427;48.43;229;48.43;162;48.43
4;3;51;1057;680;64.33;22;64.33;658;64.33;377;64.33;345;64.33;313;64.33
4;11;167;1030;630;61.17;19;61.17;611;61.17;400;61.17;330;61.17;281;61.17
6;12;201B;871;548;62.92;9;62.92;539;62.92;323;62.92;247;62.92;292;62.92
1;1;7;959;588;61.31;13;61.31;575;61.31;371;61.31;326;61.31;249;61.31
1;4;70;768;524;68.23;9;68.23;515;68.23;244;68.23;256;68.23;259;68.23
2;8;118;1071;705;65.83;12;65.83;693;65.83;366;65.83;287;65.83;406;65.83
4;2;23;1045;554;53.01;23;53.01;531;53.01;491;53.01;320;53.01;211;53.01
4;2;025A;1001;608;60.74;17;60.74;591;60.74;393;60.74;330;60.74;261;60.74
4;2;26;947;624;65.89;15;65.89;609;65.89;323;65.89;278;65.89;331;65.89
4;3;36;838;537;64.08;15;64.08;522;64.08;301;64.08;229;64.08;293;64.08
4;11;173;931;516;55.42;24;55.42;492;55.42;415;55.42;267;55.42;225;55.42
1;5;86;1174;701;59.71;20;59.71;681;59.71;473;59.71;386;59.71;295;59.71
1;7;111;1001;620;61.94;19;61.94;601;61.94;381;61.94;266;61.94;335;61.94
1;7;116;877;544;62.03;11;62.03;533;62.03;333;62.03;292;62.03;241;62.03
3;10;150;1115;711;63.77;12;63.77;699;63.77;404;63.77;393;63.77;306;63.77
3;10;157;1183;766;64.75;22;64.75;744;64.75;417;64.75;389;64.75;355;64.75
4;3;45;948;524;55.27;12;55.27;512;55.27;424;55.27;281;55.27;231;55.27
6;12;193;683;372;54.47;10;54.47;362;54.47;311;54.47;202;54.47;160;54.47
6;12;196;1261;845;67.01;19;67.01;826;67.01;416;67.01;407;67.01;419;67.01
1;1;6;995;578;58.09;14;58.09;564;58.09;417;58.09;309;58.09;255;58.09
1;1;9;967;592;61.22;12;61.22;580;61.22;375;61.22;273;61.22;307;61.22
2;6;88;1113;692;62.17;12;62.17;680;62.17;421;62.17;370;62.17;310;62.17
2;8;121;1158;773;66.75;14;66.75;759;66.75;385;66.75;312;66.75;447;66.75
2;8;130;1144;737;64.42;23;64.42;714;64.42;407;64.42;370;64.42;344;64.42
2;15;218;1079;721;66.82;9;66.82;712;66.82;358;66.82;322;66.82;390;66.82
2;15;222;1107;664;59.98;20;59.98;644;59.98;443;59.98;339;59.98;305;59.98
4;2;31;974;611;62.73;15;62.73;596;62.73;363;62.73;180;62.73;416;62.73
4;3;036A;1056;652;61.74;15;61.74;637;61.74;404;61.74;402;61.74;235;61.74
4;3;46;997;661;66.3;22;66.3;639;66.3;336;66.3;310;66.3;329;66.3
4;3;47;997;673;67.5;14;67.5;659;67.5;324;67.5;373;67.5;286;67.5
4;11;169;970;520;53.61;17;53.61;503;53.61;450;53.61;293;53.61;210;53.61
5;13;205;1059;716;67.61;9;67.61;707;67.61;343;67.61;393;67.61;314;67.61
1;4;53;1030;625;60.68;10;60.68;615;60.68;405;60.68;321;60.68;294;60.68
1;5;73;1170;716;61.2;19;61.2;697;61.2;454;61.2;365;61.2;332;61.2
2;8;123;1110;669;60.27;18;60.27;651;60.27;441;60.27;300;60.27;351;60.27
3;9;134A;1102;701;63.61;11;63.61;690;63.61;401;63.61;353;63.61;337;63.61
3;10;149;986;616;62.47;15;62.47;601;62.47;370;62.47;334;62.47;267;62.47
3;10;165A;898;666;74.16;18;74.16;648;74.16;232;74.16;294;74.16;354;74.16
4;2;30;952;611;64.18;13;64.18;598;64.18;341;64.18;211;64.18;387;64.18
4;3;049A;822;529;64.36;18;64.36;511;64.36;293;64.36;214;64.36;297;64.36
4;11;170;977;587;60.08;12;60.08;575;60.08;390;60.08;304;60.08;271;60.08
5;13;202;1288;662;51.4;18;51.4;644;51.4;626;51.4;322;51.4;322;51.4
6;12;191;880;366;41.59;7;41.59;359;41.59;514;41.59;289;41.59;70;41.59
1;4;71;955;615;64.4;21;64.4;594;64.4;340;64.4;344;64.4;250;64.4
1;5;76;1001;618;61.74;16;61.74;602;61.74;383;61.74;342;61.74;260;61.74
1;7;102;740;402;54.32;9;54.32;393;54.32;338;54.32;211;54.32;182;54.32
2;8;120;959;592;61.73;17;61.73;575;61.73;367;61.73;216;61.73;359;61.73
2;8;129;983;591;60.12;18;60.12;573;60.12;392;60.12;302;60.12;271;60.12
3;9;133;933;585;62.7;13;62.7;572;62.7;348;62.7;272;62.7;300;62.7
3;9;137;998;685;68.64;14;68.64;671;68.64;313;68.64;271;68.64;400;68.64
3;9;140;939;615;65.5;15;65.5;600;65.5;324;65.5;238;65.5;362;65.5
4;3;52;1021;596;58.37;19;58.37;577;58.37;425;58.37;305;58.37;272;58.37
6;12;195;805;473;58.76;11;58.76;462;58.76;332;58.76;220;58.76;242;58.76
1;7;104;955;667;69.84;12;69.84;655;69.84;288;69.84;312;69.84;343;69.84
2;8;127;886;561;63.32;14;63.32;547;63.32;325;63.32;232;63.32;315;63.32
2;15;224;1216;775;63.73;19;63.73;756;63.73;441;63.73;373;63.73;383;63.73
3;9;132;985;604;61.32;17;61.32;587;61.32;381;61.32;261;61.32;326;61.32
3;9;144A;989;635;64.21;12;64.21;623;64.21;354;64.21;284;64.21;339;64.21
3;10;160;1031;645;62.56;9;62.56;636;62.56;386;62.56;303;62.56;333;62.56
4;3;49;568;369;64.96;16;64.96;353;64.96;199;64.96;203;64.96;150;64.96
4;11;180;700;362;51.71;14;51.71;348;51.71;338;51.71;195;51.71;153;51.71
4;11;181;957;518;54.13;11;54.13;507;54.13;439;54.13;280;54.13;227;54.13
4;11;182;824;546;66.26;19;66.26;527;66.26;278;66.26;242;66.26;285;66.26
5;13;203A;1093;699;63.95;12;63.95;687;63.95;394;63.95;313;63.95;374;63.95
5;14;208;949;661;69.65;23;69.65;638;69.65;288;69.65;307;69.65;331;69.65
5;14;209;1260;702;55.71;14;55.71;688;55.71;558;55.71;380;55.71;308;55.71
5;14;210;1044;573;54.89;23;54.89;550;54.89;471;54.89;269;54.89;281;54.89
5;14;211A;1171;662;56.53;19;56.53;643;56.53;509;56.53;328;56.53;315;56.53
6;12;184;893;444;49.72;6;49.72;438;49.72;449;49.72;263;49.72;175;49.72
1;1;12;1069;669;62.58;17;62.58;652;62.58;400;62.58;253;62.58;399;62.58
1;4;62;983;592;60.22;7;60.22;585;60.22;391;60.22;309;60.22;276;60.22
1;7;100;1038;603;58.09;12;58.09;591;58.09;435;58.09;397;58.09;194;58.09
1;7;106;971;540;55.61;12;55.61;528;55.61;431;55.61;296;55.61;232;55.61
1;7;113A;981;632;64.42;10;64.42;622;64.42;349;64.42;305;64.42;317;64.42
3;9;135;1024;688;67.19;15;67.19;673;67.19;336;67.19;267;67.19;406;67.19
4;2;19;1049;685;65.3;11;65.3;674;65.3;364;65.3;288;65.3;386;65.3
4;11;168;998;629;63.03;31;63.03;598;63.03;369;63.03;375;63.03;223;63.03
4;11;171;955;515;53.93;16;53.93;499;53.93;440;53.93;289;53.93;210;53.93
1;4;57;632;414;65.51;9;65.51;405;65.51;218;65.51;199;65.51;206;65.51
1;7;107;1193;736;61.69;14;61.69;722;61.69;457;61.69;365;61.69;357;61.69
3;10;155;795;378;47.55;10;47.55;368;47.55;417;47.55;201;47.55;167;47.55
3;10;161;1008;672;66.67;15;66.67;657;66.67;336;66.67;365;66.67;292;66.67
3;10;163;1059;628;59.3;10;59.3;618;59.3;431;59.3;352;59.3;266;59.3
4;3;34;916;562;61.35;6;61.35;556;61.35;354;61.35;301;61.35;255;61.35
4;3;39;1084;691;63.75;20;63.75;671;63.75;393;63.75;393;63.75;278;63.75
4;3;48;988;603;61.03;13;61.03;590;61.03;385;61.03;316;61.03;274;61.03
1;1;1;1047;595;56.83;13;56.83;582;56.83;452;56.83;262;56.83;320;56.83
1;4;54;967;565;58.43;17;58.43;548;58.43;402;58.43;308;58.43;240;58.43
1;4;66;817;529;64.75;4;64.75;525;64.75;288;64.75;262;64.75;263;64.75
1;5;74;684;435;63.6;13;63.6;422;63.6;249;63.6;152;63.6;270;63.6
1;5;75;897;522;58.19;11;58.19;511;58.19;375;58.19;330;58.19;181;58.19
1;7;108A;956;641;67.05;15;67.05;626;67.05;315;67.05;340;67.05;286;67.05
3;9;146;877;553;63.06;13;63.06;540;63.06;324;63.06;291;63.06;249;63.06
3;10;152;1008;479;47.52;11;47.52;468;47.52;529;47.52;258;47.52;210;47.52
4;11;175;841;404;48.04;7;48.04;397;48.04;437;48.04;205;48.04;192;48.04
5;14;212;361;212;58.73;4;58.73;208;58.73;149;58.73;97;58.73;111;58.73
6;12;186;1046;388;37.09;5;37.09;383;37.09;658;37.09;275;37.09;108;37.09
6;12;201A;885;599;67.68;13;67.68;586;67.68;286;67.68;225;67.68;361;67.68
1;4;63;776;427;55.03;12;55.03;415;55.03;349;55.03;247;55.03;168;55.03
1;7;105;904;544;60.18;10;60.18;534;60.18;360;60.18;261;60.18;273;60.18
2;8;119;930;629;67.63;20;67.63;609;67.63;301;67.63;202;67.63;407;67.63
2;15;215;1069;539;50.42;11;50.42;528;50.42;530;50.42;319;50.42;209;50.42
4;3;44;1079;665;61.63;27;61.63;638;61.63;414;61.63;365;61.63;273;61.63
5;13;204;1068;667;62.45;16;62.45;651;62.45;401;62.45;367;62.45;284;62.45
6;12;194;832;510;61.3;15;61.3;495;61.3;322;61.3;295;61.3;200;61.3
1;4;56;1014;624;61.54;13;61.54;611;61.54;390;61.54;325;61.54;286;61.54
1;4;60;1042;642;61.61;14;61.61;628;61.61;400;61.61;341;61.61;287;61.61
1;5;81;1286;698;54.28;19;54.28;679;54.28;588;54.28;407;54.28;272;54.28
1;5;85;907;522;57.55;14;57.55;508;57.55;385;57.55;263;57.55;245;57.55
1;7;117;901;550;61.04;12;61.04;538;61.04;351;61.04;280;61.04;258;61.04
3;9;131;966;622;64.39;12;64.39;610;64.39;344;64.39;261;64.39;349;64.39
3;9;144;953;613;64.32;23;64.32;590;64.32;340;64.32;241;64.32;349;64.32
3;9;148;905;561;61.99;13;61.99;548;61.99;344;61.99;285;61.99;263;61.99
3;10;151;876;579;66.1;15;66.1;564;66.1;297;66.1;319;66.1;245;66.1
3;10;156;872;506;58.03;13;58.03;493;58.03;366;58.03;272;58.03;221;58.03
3;10;164;1166;591;50.69;14;50.69;577;50.69;575;50.69;328;50.69;249;50.69
1;4;056A;878;528;60.14;19;60.14;509;60.14;350;60.14;283;60.14;226;60.14
1;4;65;870;539;61.95;16;61.95;523;61.95;331;61.95;253;61.95;270;61.95
1;7;112;879;544;61.89;16;61.89;528;61.89;335;61.89;274;61.89;254;61.89
2;6;91;1052;603;57.32;22;57.32;581;57.32;449;57.32;293;57.32;288;57.32
2;8;124;984;675;68.6;8;68.6;667;68.6;309;68.6;243;68.6;424;68.6
2;8;124A;918;629;68.52;12;68.52;617;68.52;289;68.52;254;68.52;363;68.52
2;8;128;1155;667;57.75;18;57.75;649;57.75;488;57.75;338;57.75;311;57.75
1;7;113;1031;552;53.54;13;53.54;539;53.54;479;53.54;324;53.54;215;53.54
2;15;225;1087;667;61.36;18;61.36;649;61.36;420;61.36;374;61.36;275;61.36
3;9;138;898;652;72.61;14;72.61;638;72.61;246;72.61;263;72.61;375;72.61
4;2;32;828;581;70.17;10;70.17;571;70.17;247;70.17;162;70.17;409;70.17
5;14;207;963;622;64.59;11;64.59;611;64.59;341;64.59;315;64.59;296;64.59
6;12;189;848;445;52.48;15;52.48;430;52.48;403;52.48;253;52.48;177;52.48
6;12;190;1013;484;47.78;13;47.78;471;47.78;529;47.78;316;47.78;155;47.78
1;1;8;879;543;61.77;11;61.77;532;61.77;336;61.77;297;61.77;235;61.77
2;6;99;926;557;60.15;12;60.15;545;60.15;369;60.15;318;60.15;227;60.15
3;9;134;800;555;69.38;16;69.38;539;69.38;245;69.38;194;69.38;345;69.38
4;2;20;1022;723;70.74;21;70.74;702;70.74;299;70.74;279;70.74;423;70.74
4;2;25;1032;576;55.81;21;55.81;555;55.81;456;55.81;298;55.81;257;55.81
4;2;27;1003;654;65.2;21;65.2;633;65.2;349;65.2;270;65.2;363;65.2
4;3;35;1047;647;61.8;21;61.8;626;61.8;400;61.8;420;61.8;206;61.8
4;11;176;755;326;43.18;8;43.18;318;43.18;429;43.18;218;43.18;100;43.18
6;12;195A;1175;720;61.28;11;61.28;709;61.28;455;61.28;386;61.28;323;61.28
1;4;55;990;614;62.02;16;62.02;598;62.02;376;62.02;313;62.02;285;62.02
1;7;108;973;646;66.39;21;66.39;625;66.39;327;66.39;250;66.39;375;66.39
2;6;87;1258;753;59.86;25;59.86;728;59.86;505;59.86;407;59.86;321;59.86
2;15;214;1360;861;63.31;14;63.31;847;63.31;499;63.31;422;63.31;425;63.31
2;15;220;1062;673;63.37;21;63.37;652;63.37;389;63.37;301;63.37;351;63.37
3;9;136;770;536;69.61;15;69.61;521;69.61;234;69.61;208;69.61;313;69.61
4;2;29;1098;647;58.93;18;58.93;629;58.93;451;58.93;299;58.93;330;58.93
4;3;50;997;665;66.7;14;66.7;651;66.7;332;66.7;387;66.7;264;66.7
6;12;195B;994;702;70.62;9;70.62;693;70.62;292;70.62;368;70.62;325;70.62
6;12;200;1211;763;63.01;19;63.01;744;63.01;448;63.01;314;63.01;430;63.01
1;1;4;966;625;64.7;8;64.7;617;64.7;341;64.7;172;64.7;445;64.7
1;1;11;1101;703;63.85;14;63.85;689;63.85;398;63.85;288;63.85;401;63.85
1;5;80;1057;593;56.1;19;56.1;574;56.1;464;56.1;276;56.1;298;56.1
2;6;89;1033;611;59.15;6;59.15;605;59.15;422;59.15;285;59.15;320;59.15
3;9;145;1029;703;68.32;19;68.32;684;68.32;326;68.32;388;68.32;296;68.32
4;2;21;914;609;66.63;13;66.63;596;66.63;305;66.63;167;66.63;429;66.63
4;2;28;1076;668;62.08;16;62.08;652;62.08;408;62.08;290;62.08;362;62.08
6;12;191A;896;473;52.79;10;52.79;463;52.79;423;52.79;271;52.79;192;52.79
6;12;201;963;656;68.12;20;68.12;636;68.12;307;68.12;277;68.12;359;68.12
1;1;2;819;495;60.44;11;60.44;484;60.44;324;60.44;238;60.44;246;60.44
1;1;10;977;588;60.18;12;60.18;576;60.18;389;60.18;260;60.18;316;60.18
1;1;16;901;586;65.04;10;65.04;576;65.04;315;65.04;267;65.04;309;65.04
1;4;69;1002;655;65.37;15;65.37;640;65.37;347;65.37;293;65.37;347;65.37
3;9;141;945;622;65.82;18;65.82;604;65.82;323;65.82;259;65.82;345;65.82
3;10;159;1126;720;63.94;20;63.94;700;63.94;406;63.94;392;63.94;308;63.94
4;2;18;1170;723;61.79;20;61.79;703;61.79;447;61.79;337;61.79;366;61.79
4;3;37;883;568;64.33;10;64.33;558;64.33;315;64.33;290;64.33;268;64.33
4;3;039A;876;569;64.95;18;64.95;551;64.95;307;64.95;314;64.95;237;64.95
4;3;43;1006;682;67.79;14;67.79;668;67.79;324;67.79;356;67.79;312;67.79
5;13;203;1340;822;61.34;23;61.34;799;61.34;518;61.34;352;61.34;447;61.34
6;12;198A;1067;692;64.85;17;64.85;675;64.85;375;64.85;303;64.85;372;64.85
