BV;LE RASSEMBLEMENT CITOYEN;L'ALTERNATIVE RESPONSABLE;TOULOUSE EN MARCHE !;JEAN-LUC MOUDENC UN NOUVEL ELAN POUR TOULOUSE;LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS;A TOULOUSE, PLACE AU PEUPLE - FRONT DE GAUCHE;"""AIMER TOULOUSE""";TOULOUSE VERT DEMAIN EUROPE ECOLOGIE LES VERTS PARTI PIRATE MIDI-PYRENEES;AVEC VOUS, TOULOUSE AVANCE !;TOULOUSE BLEU MARINE;CIRC.;CANTON;INSCRITS;VOTANTS;NULS;EXPRIMES;ABSTENTIONS
00199;4.0;4.0;6.0;121.0;0.0;5.0;5.0;4.0;62.0;37.0;4.0;12.0;503.0;252.0;4.0;248.0;251.0
00213;17.0;22.0;11.0;216.0;4.0;34.0;9.0;37.0;150.0;66.0;2.0;15.0;1101.0;583.0;17.0;566.0;518.0
00219;18.0;13.0;16.0;210.0;5.0;26.0;14.0;35.0;201.0;66.0;2.0;15.0;1138.0;614.0;10.0;604.0;524.0
00012;10.0;13.0;7.0;258.0;2.0;17.0;7.0;33.0;179.0;70.0;4.0;1.0;1116.0;608.0;12.0;596.0;508.0
00031;12.0;23.0;3.0;331.0;0.0;13.0;9.0;23.0;115.0;24.0;3.0;2.0;1020.0;561.0;8.0;553.0;459.0
00036;10.0;13.0;12.0;164.0;4.0;24.0;15.0;26.0;128.0;25.0;4.0;3.0;806.0;435.0;14.0;421.0;371.0
00046;26.0;12.0;5.0;185.0;1.0;30.0;8.0;23.0;214.0;43.0;4.0;3.0;986.0;558.0;11.0;547.0;428.0
00081;12.0;18.0;6.0;136.0;4.0;33.0;9.0;41.0;185.0;39.0;1.0;5.0;1177.0;499.0;16.0;483.0;678.0
00142;9.0;11.0;1.0;216.0;1.0;10.0;6.0;9.0;97.0;93.0;3.0;9.0;890.0;459.0;6.0;453.0;431.0
00152;2.0;5.0;6.0;107.0;3.0;31.0;3.0;20.0;120.0;44.0;7.0;10.0;944.0;355.0;14.0;341.0;589.0
00167;15.0;15.0;10.0;185.0;4.0;44.0;11.0;41.0;176.0;33.0;7.0;11.0;995.0;543.0;9.0;534.0;452.0
00190;5.0;5.0;33.0;77.0;3.0;14.0;2.0;5.0;79.0;15.0;4.0;12.0;1008.0;247.0;9.0;238.0;761.0
00225;5.0;9.0;15.0;132.0;8.0;23.0;15.0;27.0;140.0;61.0;2.0;15.0;838.0;451.0;16.0;435.0;387.0
00049;20.0;10.0;7.0;118.0;1.0;30.0;4.0;34.0;170.0;38.0;4.0;3.0;759.0;440.0;8.0;432.0;319.0
00050;19.0;16.0;11.0;156.0;3.0;31.0;14.0;45.0;180.0;42.0;4.0;3.0;977.0;533.0;16.0;517.0;444.0
00060;13.0;16.0;6.0;180.0;4.0;31.0;9.0;56.0;216.0;55.0;1.0;4.0;1164.0;611.0;25.0;586.0;553.0
0108A;12.0;8.0;5.0;154.0;1.0;28.0;6.0;32.0;211.0;53.0;2.0;7.0;939.0;523.0;13.0;510.0;416.0
00125;20.0;9.0;2.0;290.0;1.0;17.0;16.0;42.0;140.0;27.0;3.0;8.0;957.0;575.0;11.0;564.0;382.0
00182;12.0;24.0;8.0;149.0;5.0;25.0;9.0;29.0;120.0;44.0;7.0;11.0;794.0;435.0;10.0;425.0;359.0
00215;11.0;16.0;6.0;211.0;4.0;41.0;23.0;49.0;202.0;48.0;2.0;15.0;1373.0;629.0;18.0;611.0;744.0
00001;8.0;21.0;5.0;215.0;3.0;26.0;3.0;45.0;166.0;40.0;4.0;1.0;1100.0;541.0;10.0;532.0;559.0
00044;18.0;16.0;7.0;177.0;6.0;41.0;18.0;48.0;181.0;30.0;4.0;3.0;971.0;558.0;16.0;542.0;413.0
0049A;14.0;11.0;5.0;192.0;0.0;44.0;9.0;30.0;156.0;44.0;4.0;3.0;856.0;513.0;8.0;505.0;343.0
0165A;12.0;22.0;9.0;251.0;2.0;14.0;14.0;36.0;195.0;43.0;7.0;10.0;982.0;609.0;11.0;598.0;373.0
00200;7.0;24.0;3.0;342.0;1.0;17.0;24.0;31.0;122.0;68.0;4.0;12.0;1192.0;654.0;15.0;639.0;538.0
00005;1.0;33.0;1.0;214.0;2.0;14.0;4.0;12.0;115.0;33.0;4.0;1.0;772.0;439.0;10.0;429.0;333.0
00024;11.0;12.0;7.0;179.0;1.0;34.0;8.0;65.0;201.0;17.0;3.0;2.0;1061.0;543.0;8.0;535.0;518.0
0025A;12.0;18.0;8.0;166.0;3.0;35.0;4.0;43.0;191.0;27.0;3.0;2.0;1002.0;518.0;11.0;507.0;484.0
00051;22.0;11.0;16.0;212.0;8.0;28.0;22.0;46.0;237.0;39.0;4.0;3.0;1230.0;659.0;18.0;641.0;571.0
00071;9.0;6.0;10.0;156.0;6.0;36.0;8.0;50.0;170.0;53.0;1.0;4.0;941.0;513.0;10.0;504.0;428.0
00078;13.0;11.0;5.0;252.0;5.0;29.0;7.0;43.0;206.0;34.0;1.0;5.0;1006.0;624.0;19.0;605.0;382.0
00079;11.0;8.0;5.0;168.0;4.0;23.0;6.0;52.0;194.0;20.0;1.0;5.0;915.0;498.0;6.0;491.0;417.0
00080;9.0;19.0;8.0;194.0;0.0;30.0;7.0;53.0;184.0;40.0;1.0;5.0;1173.0;553.0;9.0;544.0;620.0
00097;17.0;5.0;12.0;162.0;2.0;22.0;23.0;35.0;216.0;59.0;2.0;6.0;1084.0;564.0;10.0;553.0;520.0
00184;13.0;6.0;16.0;119.0;5.0;21.0;15.0;7.0;120.0;23.0;4.0;12.0;1151.0;355.0;10.0;345.0;796.0
00188;7.0;6.0;27.0;159.0;5.0;17.0;11.0;14.0;179.0;52.0;4.0;12.0;1220.0;497.0;20.0;477.0;723.0
00008;11.0;13.0;6.0;144.0;0.0;19.0;17.0;43.0;194.0;20.0;4.0;1.0;891.0;480.0;13.0;467.0;411.0
00014;8.0;25.0;8.0;239.0;0.0;38.0;15.0;50.0;167.0;39.0;4.0;1.0;1014.0;595.0;6.0;589.0;419.0
00034;9.0;9.0;9.0;151.0;2.0;37.0;11.0;44.0;180.0;34.0;4.0;3.0;953.0;496.0;10.0;486.0;457.0
00039;5.0;8.0;10.0;186.0;3.0;56.0;17.0;52.0;231.0;23.0;4.0;3.0;1160.0;603.0;12.0;591.0;557.0
00063;5.0;3.0;7.0;90.0;1.0;16.0;8.0;21.0;119.0;38.0;1.0;4.0;806.0;314.0;6.0;308.0;492.0
0124A;8.0;17.0;3.0;309.0;7.0;11.0;6.0;32.0;148.0;26.0;3.0;8.0;982.0;582.0;15.0;567.0;400.0
00205;16.0;16.0;9.0;181.0;3.0;27.0;10.0;37.0;252.0;82.0;1.0;13.0;1184.0;651.0;18.0;633.0;533.0
00006;10.0;21.0;7.0;189.0;3.0;32.0;8.0;53.0;183.0;14.0;4.0;1.0;1098.0;531.0;11.0;520.0;567.0
00023;20.0;17.0;12.0;168.0;3.0;39.0;10.0;61.0;238.0;39.0;3.0;2.0;1205.0;614.0;7.0;607.0;591.0
00064;19.0;19.0;11.0;179.0;3.0;23.0;20.0;51.0;265.0;63.0;1.0;4.0;1233.0;675.0;22.0;653.0;558.0
00075;14.0;8.0;11.0;86.0;5.0;34.0;7.0;49.0;207.0;20.0;1.0;5.0;949.0;456.0;15.0;441.0;493.0
00076;15.0;15.0;19.0;156.0;8.0;35.0;12.0;43.0;185.0;22.0;1.0;5.0;1007.0;517.0;7.0;510.0;490.0
00111;11.0;12.0;6.0;205.0;6.0;16.0;9.0;47.0;138.0;51.0;2.0;7.0;956.0;511.0;10.0;501.0;445.0
00123;19.0;3.0;5.0;239.0;3.0;26.0;13.0;53.0;174.0;46.0;3.0;8.0;1134.0;589.0;8.0;581.0;545.0
00131;8.0;13.0;7.0;276.0;4.0;36.0;7.0;31.0;163.0;45.0;3.0;9.0;1051.0;602.0;12.0;590.0;449.0
00154;2.0;4.0;8.0;89.0;1.0;8.0;3.0;14.0;98.0;38.0;7.0;10.0;809.0;278.0;13.0;265.0;531.0
00179;11.0;11.0;13.0;100.0;5.0;25.0;5.0;13.0;128.0;37.0;7.0;11.0;709.0;357.0;9.0;348.0;352.0
00211;22.0;20.0;6.0;239.0;0.0;35.0;23.0;41.0;229.0;99.0;1.0;14.0;1377.0;732.0;18.0;714.0;645.0
00013;29.0;12.0;10.0;162.0;2.0;34.0;11.0;72.0;208.0;37.0;4.0;1.0;1041.0;588.0;11.0;577.0;453.0
00015;30.0;12.0;6.0;228.0;2.0;37.0;11.0;48.0;227.0;32.0;4.0;1.0;1078.0;643.0;10.0;633.0;435.0
00027;9.0;15.0;7.0;321.0;8.0;20.0;9.0;44.0;179.0;25.0;3.0;2.0;1122.0;647.0;10.0;637.0;475.0
0036A;15.0;22.0;15.0;156.0;5.0;46.0;12.0;85.0;216.0;19.0;4.0;3.0;1124.0;605.0;14.0;591.0;519.0
0056A;10.0;11.0;3.0;175.0;2.0;32.0;9.0;32.0;161.0;25.0;1.0;4.0;894.0;469.0;9.0;460.0;425.0
00069;12.0;12.0;7.0;200.0;3.0;19.0;26.0;34.0;202.0;47.0;1.0;4.0;1090.0;574.0;12.0;562.0;516.0
00113;7.0;4.0;7.0;141.0;3.0;30.0;8.0;28.0;165.0;44.0;2.0;7.0;1030.0;455.0;18.0;437.0;575.0
00147;16.0;9.0;10.0;202.0;2.0;19.0;5.0;48.0;223.0;46.0;7.0;9.0;1006.0;591.0;11.0;580.0;415.0
00165;21.0;15.0;6.0;228.0;2.0;29.0;20.0;63.0;353.0;36.0;7.0;10.0;1463.0;797.0;24.0;773.0;666.0
0201A;14.0;20.0;5.0;410.0;1.0;19.0;17.0;35.0;126.0;43.0;4.0;12.0;1154.0;711.0;21.0;690.0;443.0
00204;19.0;12.0;6.0;160.0;1.0;28.0;14.0;23.0;250.0;56.0;1.0;13.0;1153.0;587.0;18.0;569.0;566.0
00218;11.0;10.0;11.0;244.0;6.0;31.0;15.0;41.0;221.0;96.0;2.0;15.0;1264.0;701.0;15.0;686.0;563.0
00220;10.0;16.0;15.0;260.0;6.0;36.0;12.0;42.0;200.0;69.0;2.0;15.0;1242.0;685.0;19.0;666.0;557.0
00042;21.0;37.0;9.0;168.0;0.0;34.0;18.0;42.0;140.0;33.0;4.0;3.0;962.0;516.0;14.0;502.0;446.0
00058;10.0;12.0;7.0;174.0;3.0;31.0;7.0;39.0;200.0;40.0;1.0;4.0;1199.0;536.0;13.0;523.0;663.0
00095;16.0;13.0;10.0;168.0;4.0;35.0;16.0;43.0;171.0;43.0;2.0;6.0;1039.0;530.0;11.0;519.0;509.0
00116;15.0;4.0;10.0;189.0;7.0;29.0;12.0;32.0;177.0;53.0;2.0;7.0;1060.0;541.0;13.0;528.0;519.0
00151;15.0;7.0;5.0;154.0;5.0;29.0;14.0;53.0;211.0;42.0;7.0;10.0;983.0;544.0;9.0;535.0;439.0
00155;9.0;3.0;8.0;63.0;0.0;11.0;5.0;23.0;105.0;23.0;7.0;10.0;726.0;257.0;7.0;250.0;469.0
0198B;21.0;19.0;14.0;248.0;1.0;25.0;20.0;32.0;166.0;62.0;4.0;12.0;1072.0;625.0;17.0;608.0;447.0
00201;15.0;19.0;3.0;370.0;3.0;16.0;10.0;27.0;111.0;46.0;4.0;12.0;1015.0;630.0;10.0;620.0;385.0
00224;8.0;14.0;3.0;137.0;5.0;19.0;5.0;34.0;135.0;41.0;2.0;15.0;780.0;412.0;11.0;401.0;368.0
00017;11.0;7.0;3.0;232.0;8.0;30.0;12.0;30.0;157.0;35.0;4.0;1.0;940.0;535.0;10.0;525.0;405.0
00065;18.0;20.0;9.0;213.0;4.0;34.0;14.0;38.0;221.0;56.0;1.0;4.0;1142.0;646.0;19.0;627.0;496.0
00067;14.0;14.0;8.0;189.0;1.0;29.0;9.0;40.0;202.0;23.0;1.0;4.0;983.0;550.0;21.0;529.0;433.0
00102;6.0;9.0;8.0;120.0;3.0;29.0;4.0;33.0;126.0;23.0;2.0;7.0;739.0;369.0;8.0;361.0;370.0
0113A;10.0;7.0;1.0;186.0;6.0;28.0;14.0;32.0;162.0;67.0;2.0;7.0;976.0;526.0;13.0;513.0;450.0
00119;8.0;13.0;1.0;351.0;1.0;10.0;7.0;34.0;104.0;38.0;3.0;8.0;970.0;576.0;9.0;567.0;394.0
0191A;10.0;3.0;34.0;89.0;5.0;18.0;11.0;9.0;99.0;29.0;4.0;12.0;925.0;327.0;20.0;307.0;598.0
00198;9.0;14.0;10.0;256.0;1.0;34.0;22.0;59.0;189.0;87.0;4.0;12.0;1241.0;700.0;19.0;681.0;541.0
00208;9.0;14.0;9.0;238.0;7.0;24.0;12.0;48.0;236.0;72.0;1.0;14.0;1196.0;696.0;27.0;669.0;500.0
00032;6.0;25.0;1.0;316.0;1.0;13.0;7.0;19.0;88.0;32.0;3.0;2.0;848.0;516.0;8.0;508.0;332.0
00033;13.0;15.0;8.0;159.0;3.0;43.0;7.0;67.0;259.0;40.0;4.0;3.0;1059.0;631.0;17.0;614.0;428.0
0044B;8.0;10.0;9.0;130.0;1.0;16.0;11.0;22.0;131.0;40.0;4.0;3.0;805.0;394.0;16.0;378.0;411.0
00054;15.0;12.0;4.0;161.0;9.0;25.0;12.0;43.0;179.0;37.0;1.0;4.0;991.0;513.0;15.0;497.0;478.0
00092;10.0;12.0;5.0;185.0;3.0;40.0;14.0;57.0;193.0;43.0;2.0;6.0;1184.0;581.0;19.0;562.0;603.0
00093;15.0;8.0;8.0;222.0;4.0;37.0;11.0;72.0;238.0;34.0;2.0;6.0;1248.0;671.0;22.0;649.0;577.0
00108;17.0;17.0;7.0;256.0;2.0;20.0;12.0;29.0;162.0;60.0;2.0;7.0;1029.0;598.0;16.0;582.0;431.0
00138;6.0;6.0;2.0;290.0;0.0;22.0;7.0;32.0;151.0;27.0;3.0;9.0;889.0;558.0;15.0;543.0;331.0
00153;3.0;1.0;7.0;44.0;2.0;9.0;1.0;8.0;57.0;11.0;7.0;10.0;706.0;148.0;5.0;143.0;558.0
00163;21.0;10.0;4.0;140.0;5.0;20.0;11.0;26.0;188.0;35.0;7.0;10.0;1016.0;466.0;7.0;460.0;550.0
00191;7.0;1.0;52.0;68.0;1.0;3.0;9.0;5.0;91.0;6.0;4.0;12.0;1000.0;255.0;12.0;243.0;745.0
00197;26.0;16.0;1.0;238.0;5.0;33.0;12.0;55.0;130.0;54.0;4.0;12.0;994.0;590.0;20.0;570.0;404.0
0198A;14.0;28.0;5.0;218.0;2.0;25.0;11.0;31.0;162.0;45.0;4.0;12.0;955.0;556.0;15.0;541.0;399.0
00223;21.0;21.0;7.0;238.0;2.0;17.0;18.0;40.0;163.0;89.0;2.0;15.0;1190.0;637.0;21.0;616.0;553.0
00226;18.0;13.0;5.0;167.0;5.0;25.0;16.0;28.0;153.0;69.0;3.0;15.0;987.0;505.0;6.0;499.0;482.0
00037;14.0;9.0;8.0;141.0;7.0;29.0;9.0;46.0;152.0;35.0;4.0;3.0;890.0;465.0;15.0;450.0;425.0
00070;11.0;13.0;8.0;235.0;3.0;20.0;12.0;42.0;184.0;38.0;1.0;4.0;1004.0;580.0;14.0;566.0;424.0
00074;4.0;25.0;4.0;271.0;1.0;19.0;8.0;36.0;127.0;36.0;1.0;5.0;1059.0;538.0;7.0;531.0;521.0
00178;8.0;3.0;22.0;122.0;4.0;17.0;2.0;16.0;131.0;36.0;7.0;11.0;970.0;371.0;10.0;361.0;599.0
0010A;9.0;24.0;5.0;158.0;2.0;31.0;11.0;39.0;177.0;27.0;4.0;1.0;1006.0;494.0;11.0;483.0;512.0
00029;19.0;20.0;8.0;263.0;2.0;19.0;17.0;56.0;166.0;28.0;3.0;2.0;1159.0;606.0;9.0;598.0;553.0
0067A;11.0;8.0;7.0;162.0;7.0;30.0;9.0;35.0;178.0;24.0;1.0;4.0;929.0;482.0;11.0;471.0;447.0
00100;22.0;10.0;18.0;111.0;0.0;39.0;9.0;71.0;166.0;24.0;2.0;7.0;1027.0;479.0;9.0;470.0;548.0
00114;7.0;6.0;8.0;185.0;5.0;29.0;7.0;28.0;175.0;65.0;2.0;7.0;1108.0;530.0;15.0;515.0;578.0
00126;13.0;16.0;3.0;220.0;3.0;24.0;7.0;28.0;158.0;30.0;3.0;8.0;911.0;511.0;9.0;502.0;400.0
00130;15.0;10.0;9.0;231.0;4.0;19.0;12.0;30.0;183.0;48.0;3.0;8.0;1083.0;574.0;13.0;561.0;509.0
00161;21.0;18.0;4.0;177.0;8.0;25.0;6.0;35.0;191.0;28.0;7.0;10.0;967.0;524.0;11.0;513.0;443.0
00174;17.0;13.0;16.0;191.0;6.0;38.0;8.0;28.0;166.0;68.0;7.0;11.0;1101.0;559.0;8.0;551.0;542.0
00202;13.0;14.0;9.0;184.0;1.0;22.0;10.0;35.0;179.0;70.0;1.0;13.0;1197.0;556.0;19.0;537.0;641.0
00216;13.0;17.0;13.0;187.0;5.0;37.0;12.0;32.0;195.0;55.0;2.0;15.0;1186.0;583.0;17.0;566.0;603.0
0216A;3.0;18.0;8.0;163.0;4.0;28.0;9.0;20.0;127.0;59.0;2.0;15.0;1122.0;459.0;20.0;439.0;663.0
00020;14.0;26.0;5.0;302.0;1.0;26.0;16.0;56.0;163.0;31.0;3.0;2.0;1041.0;656.0;16.0;640.0;385.0
00038;17.0;15.0;8.0;132.0;1.0;33.0;8.0;46.0;188.0;50.0;4.0;3.0;975.0;516.0;18.0;498.0;459.0
00043;9.0;24.0;13.0;214.0;2.0;40.0;10.0;36.0;166.0;48.0;4.0;3.0;1026.0;583.0;21.0;562.0;443.0
00133;6.0;6.0;8.0;237.0;3.0;17.0;8.0;21.0;181.0;54.0;3.0;9.0;983.0;556.0;15.0;541.0;427.0
0138A;6.0;9.0;7.0;273.0;2.0;33.0;6.0;26.0;186.0;41.0;3.0;9.0;951.0;606.0;17.0;589.0;345.0
00143;7.0;12.0;5.0;301.0;4.0;17.0;9.0;34.0;143.0;51.0;3.0;9.0;984.0;592.0;9.0;583.0;392.0
00160;14.0;29.0;12.0;196.0;0.0;17.0;16.0;31.0;206.0;32.0;7.0;10.0;1056.0;563.0;10.0;553.0;493.0
00180;4.0;4.0;17.0;101.0;0.0;15.0;5.0;7.0;101.0;19.0;7.0;11.0;755.0;275.0;2.0;273.0;480.0
0195B;18.0;13.0;10.0;264.0;7.0;51.0;8.0;50.0;186.0;52.0;4.0;12.0;1078.0;677.0;18.0;659.0;401.0
00196;25.0;17.0;4.0;249.0;0.0;25.0;17.0;37.0;214.0;63.0;4.0;12.0;1165.0;666.0;15.0;651.0;499.0
00217;12.0;14.0;14.0;206.0;6.0;33.0;21.0;36.0;197.0;73.0;2.0;15.0;1275.0;630.0;18.0;612.0;645.0
